机型数据,数量
小米小米13ultra（95新）黑色12+256g,1
小米小米1412+256g租赁版黑色,2
vivovivos18pro[非监管]12gb+256gb,1
华为华为mate70雪域白12+1t,2
小米小米15浅草绿16+1t,1
oppooppofindx816+512g租赁版气泡粉,1
appleiphone15promax仅激活原色钛金属512g,1
appleiphone13（95新）标准版蓝色128g,1
oppo酷睿i5/i7低中高端式电脑主机（180天起租）[非监管]i5/16g/500g集显商务,1
一加一加ace5天青瓷-陶瓷特别版16+512g,5
华为华为mate60pro(95新)公开版雅川青12+256g,1
苹果iphone16plus[监管]128gb,3
appleiphone13（95新）标准版128g红色,1
苹果首月1元iphone16promax老用户专享256g,3
一加一加ace5pro潜航黑16+1t,1
realme真我gt7pro星迹钛12+256g,1
appleiphone16pro（准新）沙漠色钛金属512g,1
小米（mi）小米mixflip多功能大外屏徕卡光学专业影像12gb+256gb,1
apple全新apple苹果ipadpro2024款m4芯片新款平板电脑13英寸256gb无线局域网机型,1
appleapplewatchultra22024版s9智能手表49毫米gps+蜂窝网络版,3
appleiphone16promax首月1元顺丰包邮国行正品256gb,1
华为华为mate70rs瑞红16+1t,2
oppo华硕天选5[非监管]fa507r7-8845h16g/5124050-6g144hfhd灰天选5,1
oppooppok12x8+256g,2
三星galaxyzflip612gb+256gb,1
vivovivoiqooneo1012+256g,4
小米xiaomimixflip12gb+512gb,1
一加一加ace5pro16gb+1tb,2
小米小米15pro小米15pro,2
小米红米k8016gb+512gb,1
三星三星galaxys24ultra12gb+512gb,1
魅族魅族2112+512g,2
一加一加ace316+512g,1
一加一加ace316+1tb,1
vivovivoiqooz9turbo+16+512g,1
小米红米k80pro16gb+1tb,1
一加一加ace5pro16gb+256gb,1
苹果iphone16512g,1
华为华为mate60（95新）南糯紫12+256g,1
appleiphone13（95新）标准版午夜色128g,2
华为华为mate60(99新）南糯紫12+256g,1
苹果严选iphone14pro128g,6
苹果严选iphone14promax128g,3
苹果严选iphone14pro256g,4
小米小米15[非监管]12+512gb,4
真我真我gtneo6[非监管]12gb+256gb,1
appleiphone16promax（准新）白色钛金属256g,1
appleiphone15promax（99新）512g黑色钛金属,1
iphone15iphone15plus128g,1
iphone15iphone15pro256g,4
appleiphone16pro仅激活原色钛金属128g,2
苹果严选iphone15pro128g,1
华为华为pocket212+1t大溪地灰,2
三星三星galaxys25ultra钛辉银公开版12+512g,4
oppo21款小新pro14[非监管]小新pro14/i5/16g/512g/集显,1
苹果首月1元iphone16promax老用户专享512g,3
appleiphone14promax（99新）深空黑色标准版128g,1
一加一加ace5pro白月瓷-陶瓷特别版16+1t,3
华为huaweipura70ultra[监管]16gb+512gb,1
小米小米15[非监管]12+256gb,17
荣耀荣耀200[非监管]16gb+256gb,1
荣耀荣耀magicv3苔原绿12+256g,2
三星三星galaxys25ultra钛银蓝公开版12+256g,1
oppo3050/3060全新电竞台式机（30天起租）[非监管]i5-12400f内存32g硬盘1t显卡3060（海景房机箱）,1
oppo3050/3060全新电竞台式机（30天起租）[非监管]i5-13600kf内存32g硬盘1t显卡4060ti水冷（海景房机箱）,1
vivovivos19[非监管]12gb+512gb,1
一加一加ace3pro[非监管]16gb+512gb,7
真我真我gtneo6[非监管]16gb+256gb,1
appleiphone16e（仅激活）256g黑色,1
vivovivox200pro白月光12+256g,8
appleiphone15pro仅激活蓝色钛金属128g,1
惠普（hp）星book142023款i5-1340p/16g/1tb/锐炬xe/14英寸银色,1
oppo酷睿i5/i7低中高端式电脑主机（180天起租）[监管]i5-12400f内存32g硬盘1t显卡4060（海景房机箱）,1
vivovivos19pro[非监管]12gb+256gb,1
华为华为huaweipocket2[监管]12gb+512gb,2
vivovivoiqooneo10拉力橙12+256g,2
vivovivoiqooz9turbo+月影钛12+512g,1
红米红米turbo4公开版暗影黑16+512g,1
vivovivoiqooneo10驰光白16+1t,1
oppooppofindx8（全新）公开版浮光白12+512g,1
oppo酷睿i5/i7低中高端式电脑主机[非监管]i5-12400f内存32g硬盘1t显卡4060（海景房机箱）,3
一加一加ace5pro12gb+256gb,1
小米红米k8012gb+512gb,1
一加一加ace5pro一加ace5pro,2
vivovivox100s16+256g,1
小米xiaomimixfold4xiaomimixfold4,1
oppooppok12x12+512g,1
oppooppok12plus12+256g,1
小米redmik70至尊版16gb+1tb,1
荣耀荣耀x60荣耀x60,1
一加一加13一加13,1
红米redminote14pro12gb+256gbb,1
oppoopporeno1312gb+512gb,1
小米小米1516+1t黑色,3
oppooppofindx8pro漫步云端16+1t,1
appleappleiphone16plus512g,1
小米小米15丁香紫16+1t,1
荣耀荣耀x60典雅黑12+256g,1
vivoiqoo12pro[非监管]16+512g,1
vivovivos19[非监管]12gb+256gb,2
oppo酷睿i5/i7低中高端式电脑主机[非监管]i5-10400f内存16g硬盘512g显卡2060（普通机箱）,1
vivovivoiqooz9turbo+星光白12+512g,2
vivovivoiqooneo10pro疾影黑12+512g,1
appleiphone15仅激活256g蓝色,4
三星三星w2516+512g陶瓷黑,6
appleappleairpods(三代)全新苹果无线蓝牙耳机magsafe无线充电盒配magsafe无线充电盒,2
oppo3050/3060全新电竞台式机（30天起租）[非监管]i5-12400f内存16g硬盘512g显卡2060（普通机箱）,1
小米红米k70pro[非监管]12+256g,2
oppo酷睿i5/i7低中高端式电脑主机[非监管]i5-13600kf内存32g硬盘1t显卡4060ti水冷（海景房机箱）,3
oppo华硕天选5[非监管]fa507r7-8845h16g/5124060-8g144hfhd灰天选5,1
vivovivoiqooneo10驰光白12+256g,7
appleiphone16e（仅激活）白色128g,1
苹果中科测试商品[监管]128g,1
小米小米14pro16+512g白色,5
oppoopporeno12pro[非监管]12gb+256gb,3
vivovivoiqooneo10pro驰光白12+256g,2
华为华为畅享70x雪域白256g,4
红米红米k80pro玄夜黑16+1t,1
appleiphone16promax苹果手机全新正品未拆封未激活256g,395
appleiphone16e256g白色,2
appleiphone15promax仅激活白色钛金属256g,1
荣耀荣耀magic6[非监管]16+512g,1
oppo酷睿i5/i7低中高端式电脑主机[非监管]i5-12400f内存32g硬盘1t显卡3060（海景房机箱）,1
oppo酷睿i5/i7低中高端式电脑主机[非监管]i7-12700f内存32g硬盘1t显卡4060ti（海景房机箱）,2
苹果iphone13promax[监管]128g,2
苹果iphone15promax高通过率iphone15promax高通过率/5g全网通/512g,10
oppo酷睿i5/i7低中高端式电脑主机[非监管]i7-12700f内存32g硬盘1t显卡4070水冷（海景房机箱）,1
苹果iphone15promax[非监管]256g,2
苹果iphone16plus[非监管]128gb,2
苹果iphone14pro[非监管]128g,3
苹果iphone14pro[监管]256g,7
华为华为matex6颜色随机12+512g,2
小米小米15pro16+512g租赁版白色,3
苹果iphone14promax[非监管]256g,4
苹果iphone13[监管]128g,3
小米redmik80[非监管]12gb+256gb,4
vivovivoiqooneo9[非监管]16+512g,1
荣耀荣耀magic7pro[非监管]16+512gb,2
小米redminote14pro+[非监管]12gb+256gb,2
vivovivos19[非监管]16gb+512gb,1
影驰/技嘉/七彩虹/耕升酷睿i5/i7低中高端式电脑主机（180天起租）[非监管]i5-10400f内存16g硬盘512grtx1050ti/4g独显（普通机箱）,1
影驰/技嘉/七彩虹/耕升酷睿i5/i7低中高端式电脑主机（180天起租）[非监管]i7-12700f内存32g硬盘1t显卡4060ti水冷（海景房机箱）,2
华为华为mate70rs颜色随机16+512g,1
appleiphone15promax全新国行正品顺丰发货256g,3
appleiphone15pro仅激活白色钛金属256g,2
苹果iphone14promax[监管]256g,9
苹果iphone14promax[监管]128g,9
影驰/技嘉/七彩虹/耕升酷睿i5/i7低中高端式电脑主机（180天起租）[非监管]i7-12700f内存32g硬盘1t显卡4070水冷（海景房机箱）,1
影驰/技嘉/七彩虹/耕升酷睿i5/i7低中高端式电脑主机（180天起租）[非监管]i5-12400f内存32g硬盘1t显卡4060（海景房机箱）,1
影驰/技嘉/七彩虹/耕升酷睿i5/i7低中高端式电脑主机（180天起租）[非监管]i5-12400f内存16g硬盘512g显卡2060（普通机箱）,1
oppo酷睿i5/i7低中高端式电脑主机[非监管]i5-12400f内存16g硬盘512g显卡3060（海景房机箱）,3
vivovivoiqooneo10vivoiqooneo10,1
一加一加1312+256g,1
魅族魅族21pro12gb+256gb,1
oppoopporeno13pro16gb+512gb,1
小米小米15ultra16+512g,1
红米红米k80pro玄夜黑12+256g,4
三星三星galaxys25+冷川蓝公开版12+256g,2
苹果iphone15promax高通过率iphone15promax高通过率/5g全网通/1t,1
苹果苹果macbookpro2020款[非监管]macbookproi5/8g+256g,1
oppo30系列短租电竞台式机[非监管]i5-12400f内存32g硬盘1t显卡3060（海景房机箱）,1
华为华为matebook14[非监管]华为14/14寸/十代i5/16g/512g/mx250,2
华为华为nova13[非监管]512gb,1
苹果iphone13promax[监管]128gb,1
三星三星galaxys25ultra钛影?公开版12+256g,3
一加一加ace5全速黑12+512g,4
影驰/技嘉/七彩虹/耕升酷睿i5/i7低中高端式电脑主机（180天起租）[非监管]i5-12400f内存16g硬盘512g显卡3060（海景房机箱）,1
苹果严选iphone14pro()256g,13
苹果严选iphone13()128g,1
苹果严选iphone15promax()256g,25
测试东民-租归租送转换[监管]256gb,1
苹果严选iphone14promax()128g,3
苹果严选iphone14promax()256g,5
苹果严选iphone13promax()256g,1
苹果严选iphone14pro()128g,12
苹果严选iphone15pro()256g,3
苹果严选iphone14()128g,3
苹果严选iphone15promax()512g,2
苹果严选iphone15pro()128g,2
苹果严选iphone14()256g,1
苹果严选iphone15()128g,1
苹果严选iphone15plus()128g,1
苹果严选iphone13promax()128g,1
vivovivos20[非监管]8+256g,1
小米红米k70[非监管]12+256g,1
一加一加13白露晨曦24+1t,1
小米小米15pro12+256g租赁版白色,6
苹果中科转民盛、东恒创[监管]128g,1
红米红米k80pro山峦青12+512g,2
appleiphone16仅激活256g黑色,3
vivovivox200[非监管]12gb+256gb,2
vivovivox100s[非监管]16gb+256gb,1
苹果iphone14promax[非监管]128g,4
苹果iphone13promax[监管]256g,2
苹果iphone15promax[非监管]512g,2
荣耀荣耀x60i[非监管]12gb+512gb,1
华为华为matebook14[非监管]klvg-16i5-1340p16g/1ts集触控2k屏--灰,1
vivovivoiqooneo9spro[非监管]16gb+512gb,1
vivovivoiqoo13曼岛16+1t,2
appleiphone15promax仅激活黑色钛金属256g,3
appleiphone16pro仅激活沙漠色钛金属512g,2
vivovivos2012+512g松烟墨,2
苹果iphone15pro99新256g,1
vivovivox20016+1t宝石蓝,1
小米小米15ultra[非监管]12gb+256gb,12
vivovivos20[非监管]12+512g,1
苹果测试租归租送转换[监管]256gb,1
appleiphone16e白色128g,7
一加一加ace5全速黑16+256g,3
小米小米15ultra[非监管]16gb+1tb,15
苹果iphone13promax[监管]256gb,2
荣耀荣耀magic7天际蓝12+256g,1
oppoopporeno13pro仅激活午夜黑16+512g,3
realme真我gt7pro火星12+512g,1
appleiphone16仅激活深青256g,5
荣耀荣耀x60典雅黑8+128g,2
oppo酷睿i5/i7低中高端式电脑主机[非监管]i5-12400f内存16g硬盘512g显卡3050（普通机箱）,1
realme真我gt7pro竞速版海王星公开版12+256g,1
vivovivox200pro[非监管]16gb+1tb（普通版）,2
小米redmik80[非监管]16gb+1tb,1
vivovivoxfold3轻羽白16+1t,1
vivovivos20pro16+512g松烟墨,1
华为华为matex6星云灰12+512g,2
oppo3060系列30天起租[非监管]i5-12400f内存16g硬盘512g显卡3060（海景房机箱）,2
荣耀荣耀x60月影白12+512g,1
华为华为mate70pro+金丝银锦16+512g,4
appleiphone16pro1tb沙漠色钛金属,4
华为华为pura70ultra公开加锁版星芒黑16+512g,1
努比亚（nubia）努比亚红魔10pro+白昼武士16+512g,1
努比亚（nubia）努比亚红魔10pro+氘锋透明银翼16+512g,3
oppooppofindx7ultra[非监管]16gb+256gb,1
小米小米15ultra[非监管]16gb+512gb,26
荣耀荣耀magic7月影灰12+256g,3
红米红米turbo4公开版暗影黑12+256g,1
荣耀荣耀300pro星光沙12+256g,3
oppooppoa5pro砂岩紫8+256g,1
小米小米15pro16+512g租赁版岩石灰,1
小米小米15ultra公开版12+256g白色,7
荣耀荣耀x60海湖青8+128g,3
小米小米1416+512g白色,2
三星三星galaxys25暮河银公开版12+512g,1
华为华为mate70pro+飞天青16+512g,4
三星三星galaxys25ultra钛银蓝公开版12+512g,3
appleiphone16plus仅激活256g白色,1
苹果iphone13pro[监管]128gb,1
oppooppofindx7ultra[非监管]16gb+512gb,2
红米红米k80山峦青12+256g,3
苹果iphone15pro高通过率iphone15pro高通过率/5g全网通/1t,1
小米小米15ultra公开版16+512g黑色,14
小米小米15ultra公开版16+512g白色,16
小米小米15ultra公开版12+256g黑色,11
小米小米15[非监管]16+512gb,7
苹果iphone14pro[监管]128g,2
华为华为pura70公开加锁版羽砂黑12+256g,1
vivovivoiqoo1212+256g,2
华为华为mate70pro+飞天青16+1t,2
三星三星galaxys25ultra钛雾灰公开版12+512g,3
vivovivox200pro白月光16+1t卫星通信版,2
oppo3050/3060全新电竞台式机（30天起租）[非监管]i5-12400f内存32g硬盘1t显卡4060（海景房机箱）,1
oppo酷睿i5/i7低中高端式电脑主机[非监管]i5-10400f内存16g硬盘512grtx1050ti/4g独显（普通机箱）,1
小米小米15ultra经典黑银公开版12+256g,6
华为华为mate70云杉绿12+1t,2
vivovivoiqooz9turbo长续航版星光白12+256g,2
oppooppofindn5公开版锻黑16+512g,5
oppooppofindx8pro[非监管]12+256gb,2
oppo联想thinkbook16+[非监管]thinkbook16+0acdi5-13500h32g512g2.5k,1
苹果iphone13pro[监管]128g,1
oppo华硕灵耀14[非监管]灵耀14ux3402i9-13900h16g1ts集冰川银2.5k,1
oppo酷睿i5/i7低中高端式电脑主机[非监管]i7-12700f内存32g硬盘1t显卡4060水冷（海景房机箱）,3
小米小米15ultra公开版16+1t黑色,5
oppoopporeno13仅激活12+512g星河蓝,1
一加一加ace5全速黑16+512g,5
华为华为mate70pro+羽衣白16+1t,1
红米红米k80汐月蓝16+1t,1
小米小米15ultra（仅激活）公开版16+512g黑色,1
appleiphone16仅激活群青128g,3
小米redmik80pro[非监管]12gb+256gb,2
oppooppofindx8pro星野黑12+512g,1
华为华为pura70pro12+512g租赁版极速发货羽砂黑,4
华为华为mate70rs皓白16+512g,1
努比亚（nubia）努比亚flip2星光黑公开版12+512g,1
appleiphone16e256g黑色,7
荣耀荣耀x60pro燃橙色8+256g,1
vivovivoiqooz9x星芒白8+256g,1
苹果严选iphone14promax(99新)256g,17
华为华为pura70公开零售版樱玫红12+1t,1
华为华为mate70曜石黑12+1t,2
苹果严选iphone15promax(99新)256g,14
苹果严选iphone15pro(99新)128g,9
苹果严选iphone15(准新)128g,1
苹果严选iphone14pro(99新)256g,45
苹果严选iphone14promax(95新)128g,2
苹果严选iphone14pro(99新)128g,26
苹果严选iphone15pro(99新)256g,11
苹果严选iphone14(95新)128g,5
苹果严选iphone14promax(99新)128g,7
苹果严选iphone14pro(准新)256g,9
苹果严选iphone14pro(95新)256g,3
苹果严选iphone15promax(准新)512g,1
苹果严选iphone14promax(90新)128g,1
苹果严选iphone15promax(准新)256g,3
华为pura70pro(99新)12+256g,1
苹果严选iphone14promax(准新)256g,5
苹果严选iphone15pro(准新)256g,1
小米redmik80pro[非监管]16gb+512gb,2
华为华为matebookd14[非监管]mdf-16i5-12450h16g+512g集银,2
小米小米15[非监管]16+1tb,1
vivovivoiqoo1316+1t赛道版,4
华为华为matex6曜石黑12+512g,3
小米小米1516+1t租赁版黑色,2
苹果【芝麻租赁专享】【首月1元】iphone16promax256g,9
小米小米15ultra（仅激活）公开版16+1t黑色,1
荣耀荣耀x50全新勃朗蓝8gb+256gb,1
oppooppoa3iplus公开版水墨黑12+256g,1
华为华为mate70pro+墨韵黑16+512g,7
苹果iphone14promax[监管]128gb,2
oppo酷睿i5/i7低中高端式电脑主机[非监管]i7-12700f内存32g硬盘1t显卡3060水冷（海景房机箱）,1
小米redmik80[非监管]12gb+512gb,1
苹果iphone15plus[非监管]128g,1
appleiphone16pro仅激活黑色钛金属512g,1
红米红米turbo3青刃16+512g,1
appleiphone16仅激活粉色128g,2
荣耀荣耀300pro墨岩黑16+512g,1
小米小米15pro岩石灰16+512g,2
小米小米1416+512g黑色,1
三星三星a55深宇蓝12+256g,1
appleiphone15pro仅激活原色钛金属128g,1
vivovivoiqoo1312+512g赛道版,1
oppoopporeno13仅激活午夜黑16+512g,3
苹果iphone16e[非监管]128gb,3
小米redmik80[非监管]16gb+512gb,1
苹果iphone16e[监管]128gb,1
vivovivoiqoo12pro[非监管]16+512g,1
oppo戴尔3000成就系列[非监管]14寸--3420-1608a灰i5-1235u16g/512g集,1
vivovivos20玉露白8+256g,1
小米小米15ultra松柏绿公开版16+512g,1
oppooppoa3i星辰紫8+256g,1
红米红米k80雪岩白16+1t,2
三星三星galaxys25+远海蓝公开版12+256g,1
华为华为nova13羽砂白256g,2
一加一加ace5pro潜航黑16+256g,2
vivovivox200白月光12+512g,1
oppoopporeno13仅激活心动白16+256g,1
华为华为畅享70x雪域白512g,1
荣耀荣耀300pro星光沙16+512g,1
荣耀荣耀gt冰晶白12+256g,1
华为华为畅享70x曜金黑512g,6
小米小米1412+256g租赁版白色,2
荣耀荣耀300墨岩黑12+256g,1
小米小米1512+512g租赁版黑色,2
oppo机械革命蛟龙16pro[非监管]机械革命蛟龙16pro16.0寸r7-7745hx16g/5124060-8g165hz2.5k白,1
oppo酷睿i5/i7低中高端式电脑主机[非监管]i5-12400f内存32g硬盘1t显卡4060ti水冷（海景房机箱）,1
小米小米15pro12+256g租赁版岩石灰,4
oppoopporeno13pro仅激活午夜黑12+512g,1
vivovivoiqooneo10pro疾影黑16+512g,1
oppoopporeno13pro仅激活星光粉16+512g,3
苹果iphone16plus全新国行正品非监管机128g,1
vivovivox200promini16+512g,1
三星三星galaxys25ultra钛影?公开版12+512g,3
apple首月1元iphone16promax现货速发国行正品顺丰包邮256gb,1
appleiphone16e（仅激活）黑色128g,1
oppooppo一加ace3v学生智能游戏手机骁龙5g12gb+512gb,1
apple【赠膜】iphone16promax首月1元顺丰包邮国行正品512gb,39
apple【赠膜】首月1元iphone16promax现货速发顺丰包邮256gb,47
apple【赠膜】iphone16promax首月1元顺丰包邮国行正品256gb,21
apple【赠膜】首月1元iphone16promax现货速发顺丰包邮512gb,12
apple【赠膜】iphone16promax现货速发顺丰包邮512gb,11
apple【赠膜】首月1元iphone16pro全新国行正品现货速发顺丰包邮256gb,5
apple【赠膜】首月1元iphone16pro全新国行正品现货速发顺丰包邮512gb,4
apple苹果15pm耳机组合装512gb,1
apple【赠膜】iphone16promax现货速发顺丰包邮256gb,3
apple【赠膜】首月1元iphone16promax现货速发国行正品256gb,1
vivovivox200辰夜黑16+512g,1
oppo3060系列30天起租[非监管]i5-10400f内存16g硬盘512g显卡2060（普通机箱）,1
oppooppofindx816+512g租赁版星野黑,2
华为华为mate70pro+金丝银锦16+1t,1
荣耀荣耀300ultra墨岩黑12+512g,1
"macbookmacbook2024款macbookair(m3芯片)15英寸,16g+512g",1
手表手表applewatchultra2系列,1
opppoopppofindx8系列16g+512g,1
appleapple99新iphone16promax256g,1
荣耀荣耀magic7月影灰16+512g,1
荣耀荣耀x60pro典雅黑12+512g,5
华为华为mate7012+512g租赁版风信紫,1
红米红米k80玄夜黑16+256g,1
一加一加ace5全速黑16+1t,1
红米红米k80山峦青16+256g,1
oppoopporeno13pro仅激活午夜黑12+256g,3
小米小米15pro12+256g租赁版云杉绿,2
华为华为mate7012+1t租赁版雪域白,1
苹果iphone14[监管]256gb,1
影驰/技嘉/七彩虹/耕升40系列电竞台式机[非监管]i5-12400f内存32g硬盘1t显卡4060（海景房机箱）,1
苹果macbookair2020年款[非监管]macbookairm1/8g+512g,1
苹果iphone13[监管]256gb,1
华为华为畅享70x曜金黑256g,5
vivovivox200promini微粉12+256g,2
华为华为mate70雪域白12+256g,2
小米小米15pro16+1t租赁版白色,1
小米小米1512+256g租赁版白色,4
华为华为mate7012+1t租赁版曜石黑,1
荣耀荣耀gt冰晶白16+512g,2
荣耀荣耀x60i12+256g幻夜黑,2
appleiphone16e黑色128g,5
vivovivoiqoo13曼岛16+256g,1
荣耀荣耀x60典雅黑8+256g,1
苹果iphone14pro[非监管]256g,1
小米小米pad6spro12.4英寸[非监管]8gb+256gb,2
appleiphone16仅激活粉色512g,1
荣耀荣耀magic7绒黑色16+512g,2
华为华为mate70pro+墨韵黑16+1t,2
华为华为mate70曜石黑12+256g,8
vivovivoiqooneo10疾影黑12+256g,2
苹果【芝麻租赁专享】【首月1元】iphone16promax512g,4
华为华为nova13羽砂紫512g,1
荣耀荣耀magic7朝霞金16+1t,1
小米小米15pro（仅激活）租赁版岩石灰16+512g,1
华为华为pura70pro+公开加锁版魅影黑16+1t,1
华为华为pura7012+512g卫星通信版公开加锁版冰晶蓝,1
appleiphone16pro仅激活原色钛金属512g,3
vivovivoiqooz9x曜夜黑8+256g,1
苹果严选iphone15(95新)128g,1
苹果严选iphone14pro(准新)128g,2
苹果严选iphone15promax(99新)512g,1
oppooppofindx816+1t租赁版星野黑,1
苹果iphone13[监管]128gb,1
vivovivoiqooz9turbo[非监管]16gb+512gb,3
oppoopporeno13仅激活蝶蝶紫16+1t,1
小米小米15ultra经典黑银公开版16+512g,5
荣耀荣耀300墨岩黑16+512g,1
华为华为畅享70s公开版曜金黑256g,1
苹果iphone16plus首月1元256g,2
苹果严选iphone15(99新)256g,1
vivovivoiqooneo10疾影黑16+256g,2
苹果95新iphone14pro128g,1
华为华为huaweipura70pro+[非监管]16gb+512gb,1
小米redmik80[非监管]16gb+256gb,1
oppo3050/3060全新电竞台式机（30天起租）[非监管]i5-12400f内存16g硬盘512g显卡3060（海景房机箱）,1
荣耀荣耀gt[非监管]12gb+256gb,1
oppooppoa5pro石英白12+512g,1
华硕（asus）华硕rog游戏手机9pro曜石黑16+512g,1
三星三星galaxys25ultra钛雾灰公开版12+256g,1
华为华为mate70pro+羽衣白16+512g,1
华为华为nova13星耀黑512g,2
荣耀荣耀x60月影白8+256g,1
vivovivoy200i星夜黑12+512g,1
荣耀荣耀magic7月影灰12+512g,1
红米红米note14pro子夜黑12+512g,1
oppooppoa3iplus冷晶紫公开版12+256g,1
真我真我gtneo6[非监管]16gb+512gb,1
vivovivoy300pro金镶玉8+256g,1
红米红米k80pro山峦青12+256g,1
小米小米15ultra公开版16+1t白色,2
红米红米k80山峦青16+1t,1
一加一加13白露晨曦12+256g,1
vivovivos20凤羽金12+256g,1
vivovivox200白月光16+1t,1
苹果iphone14promax[非监管]128gb,1
oppooppofindx8星野黑16+256g,1
华为华为mate70pro优享版公开版曜石黑12+512g,5
oppooppofindx816+512g租赁版浮光白,1
荣耀荣耀300pro墨岩黑12+256g,1
oppooppofindx816+256g租赁版浮光白,2
vivovivoiqooneo10疾影黑12+512g,1
好物捡漏iphone16promax256g,1
苹果iphone13[非监管]256g,1
苹果iphone16e[监管]256gb,1
苹果苹果macbookpro2020款[非监管]macbookprom1/8g+256g,1
荣耀荣耀magic7[非监管]16+512gb,1
oppoopporeno12pro[非监管]16gb+512gb,1
oppo酷睿i5/i7低中高端式电脑主机[非监管]i7-12700f内存32g硬盘1t显卡3060（海景房机箱）,1
华为华为mate70pro优享版公开版雪域白12+512g,2
appleiphone16plus仅激活深青256g,2
小米小米1412+256g黑色,1
vivovivoy300pro钛色8+256g,1
apple首月1元iphone16promax现货速发国行正品顺丰包邮512gb,2
荣耀荣耀300茶卡青12+256g,1
apple【赠膜】首月1元iphone16pro全新国行正品现货速发顺丰包邮128gb,1
红米红米turbo4公开版16+256g暗影黑,1
小米（mi）xiaomi15ultra徕卡2亿超级长焦骁龙8至尊版移动平台16gb+512gb,1
小米（mi）redmik805g游戏拍照智能手机16gb+256gb,1
华为华为pura70pro+公开加锁版光织银16+1t,1
荣耀荣耀x60pro燃橙色12+512g,1
oppooppoa5云母蓝公开版12+512g,1
oppooppofindn5玉白公开版16+512g,2
苹果iphone15promax[监管]512g,1
苹果iphone14promax[监管]256gb,1
苹果macbookpro/air2020年款[非监管]macbookprom1/8g+256g,1
appleiphone16plus仅激活白色128g,1
oppooppofindx8星野黑16+1t,1
一加一加13蓝调时刻24+1t,1
小米小米15ultra松柏绿公开版12+256g,1
华为华为畅享70x湖光青512g,1
vivovivoiqooneo10pro疾影黑16+256g,2
华为华为mate70pro优享版租赁版雪域白12+512g,1
苹果iphone16pro租物专享128g,1
红米红米k80雪岩白16+256g,2
华为华为mate70云杉绿12+256g,1
华为华为mate70pro优享版租赁版曜石黑12+512g,1
oppooppoa3iplus冷晶紫公开版12+512g,1
三星三星galaxyzfold5星河白标准版12+512g,1
小米redmik80pro[非监管]12gb+512gb,1
oppoopporeno13仅激活蝶蝶紫16+256g,1
华为华为mate70rs瑞红16+512g,1
小米小米15pro云杉绿12+256g,1
华为华为mate70pro优享版公开版曜石黑12+1t,1
oppooppofindn5暮紫公开版16+1t卫星通信版,1
